15d29001.abf,10,1,1A
15d29002.abf,100,1,1A
15d29003.abf,1000,1,1A
15d29004.abf,2000,1,1A
15d29005.abf,5000,1,1A
15d29006.abf,10,1,1B
15d29007.abf,100,1,1B
15d29008.abf,1000,1,1B
15d29009.abf,2000,1,1B
15d29010.abf,5000,1,1B
15d29011.abf,10000,1,1B
15d29012.abf,10,1,1C
15d29013.abf,100,1,1C
15d29014.abf,1000,1,1C
15d29016.abf,2000,1,1C
15d29017.abf,5000,1,1C
15d29018.abf,10000,1,1C
15d29019.abf,10,1,1D
15d29020.abf,100,1,1D
15d29021.abf,1000,1,1D
15d29022.abf,2000,1,1D
15d29023.abf,5000,1,1D
15d29024.abf,10000,1,1D
15d29025.abf,10,1,1E
15d29026.abf,100,1,1E
15d29027.abf,1000,1,1E
15d29028.abf,2000,1,1E
15d29029.abf,5000,1,1E
15d29030.abf,10000,1,1E
15d29031.abf,10,1,1E
15d29032.abf,100,1,1E
15d29033.abf,1000,1,1E
15d29034.abf,2000,1,1E
15d29035.abf,5000,1,1E
15d29036.abf,10000,1,1E
