30ng	11.607829
100ng	21.919385
300ng	36.150028
1000ng	38.819498
3000ng	62.356899
10000ng	76.514359
10000ng-1	41.858937
08812025	90.923117
08815040	61.381131
08815042	75.440020
08816035	75.530017
